Gebietskennziffer;name;bev_dicht;bev_entw;st_einnkr;beschq_insg;beschq_w;beschq_m;v_gsm;v_lte;v_5g;p_markt;p_hbad;p_freibad;p_notfall;p_grunds;p_sek_1;p_sek_2
1001000;Flensburg, Stadt;1631,41;0,91;1395,12;59,6;57,72;61,41;99,7;99,7;99,5;2,36;6,54;10,525;6,83;3,18;4,73;4,42
1002000;Kiel, Landeshauptstadt;2087,8;-0,02;1369,73;59,72;56,04;63,49;99,3;99,3;99,3;2,52;6,54;6,955;8,67;3,11;4,49;4,63
1003000;Lübeck, Hansestadt;1018,23;0,16;1319,68;63,25;59,73;66,86;100;100;99,3;3,2;8,67;8,275;9,17;3,69;5,12;6,76
1004000;Neumünster, Stadt;1109,43;0,04;1465,54;65,52;61,22;69,65;100;100;100;2,58;6,46;7,965;7,27;3,02;4,85;4,47
1051001;Albersdorf;220,44;0,31;1288,03;62,81;59,35;66,33;100;100;100;2,31;2,98;7,76;19,27;2,75;3,3;17,43
1051002;Arkebek;33,38;3,33;805,39;63,82;66,67;61,04;100;100;86,1;5,08;5,85;8,71;18,51;5,72;6,7;14,31
1051003;Averlak;62,91;0,14;898,08;73,47;62,09;84,1;100;100;99,9;5,24;11,45;11,145;31,21;6,45;11,91;11,92
1051004;Bargenstedt;79,75;0,21;1392;66,29;62,5;70,08;100;100;93,4;8,43;11,22;10,505;22;2,87;10,39;10,54
1051005;Barkenholm;34,64;2,12;843,31;59,62;64,44;55,93;100;100;95,7;8,06;11,08;9,6;13,29;9,17;11,07;11,31
1051006;Barlt;33,52;0,1;2959,14;66,59;56,48;75,85;100;100;100;8,38;10,82;10,24;25,97;7,03;9,22;9,27
1051008;Bergewöhrden;13,26;1,21;1742,6;52,17;50;55,56;100;100;100;9,91;23,96;11,94;26,17;10,72;20,46;24,19
1051010;Brickeln;32,62;-2;920,91;65,71;63,79;67,07;100;100;100;4,58;21,71;5,125;32,33;4,66;5,32;21,74
1051011;Brunsbüttel, Stadt;193,27;-0,16;2462,13;67,31;58,28;75,75;99,7;99,7;99,6;4,9;6,9;6,59;28,93;5,64;6,3;6,34
1051012;Buchholz;68,75;-0,18;856,29;67,65;61,38;73,29;100;100;99,9;7,36;23,12;7,17;38,54;7,55;8,97;21,47
1051013;Büsum;586,08;0,42;1770,35;63,62;62,09;65,24;99,2;99,2;99,2;2,04;3,72;15,59;18,97;2,71;2,71;2,71
1051014;Büsumer Deichhausen;127,53;0,28;954,05;62,15;63,27;60,76;100;100;100;2,87;5,03;15,1;18,01;4,12;4,12;4,12
1051015;Bunsoh;63,57;-0,9;870,31;65,97;61,75;70,28;100;100;100;4,46;4,24;3,47;23,02;5,51;6,15;19,69
1051016;Burg (Dithmarschen);373,87;0,31;803,83;64,68;58,59;71,01;100;100;100;3,06;23,59;3,89;33,39;3,13;4,23;23,65
1051017;Busenwurth;31,52;0,13;1407,67;66,5;55,79;75,93;100;100;100;8,53;9,53;8,57;22,92;4,54;8,66;8,76
1051019;Dellstedt;33,07;-0,57;853,13;66,74;63,11;70,09;100;100;100;2,59;16,21;2,57;25,83;2,86;10,63;21,65
1051020;Delve;48,04;1,87;863,24;64,46;63,8;65,14;100;100;100;3,4;22,18;3,9;24,38;12,97;16,02;22,41
1051021;Diekhusen-Fahrstedt;94,1;-0,28;1543,57;64,92;57,58;72,37;100;100;100;3,11;4,39;12,82;33,79;3,59;3,59;4,51
1051022;Dingen;92,44;0,87;1614,2;65,36;56,28;74,04;100;100;100;4,49;14,3;7,24;31,75;4,21;8,21;13,11
1051023;Dörpling;82,99;1,56;936,01;62,66;60,32;64,85;100;100;100;7,58;17,24;2,505;23,13;8,48;9,8;21,12
1051024;Eddelak;147,12;-0,09;958,89;71,68;63,59;79,41;100;100;100;3,19;13,05;9,34;29,93;5,38;9,98;11,44
1051026;Eggstedt;58,33;0,03;1051,74;70,68;64,35;77,09;100;100;100;12,15;13,99;5,87;20,66;12,41;13,04;18,17
1051027;Elpersbüttel;29,2;0,37;1154,84;67,08;60,36;73,59;100;100;100;7,12;7,92;7,36;21,32;3,85;7,36;7,18
1051028;Epenwöhrden;59,1;0,33;906,08;65,64;60,96;70,59;100;100;100;4,76;5,41;4,315;15,15;6,09;5,58;4,97
1051030;Fedderingen;27,55;-1,33;1917,91;68,89;69,77;68,09;100;100;100;5,24;17,26;6,36;18,09;6,22;15,63;17,25
1051032;Frestedt;34,17;0,52;1098,06;63,91;65,77;62,18;100;100;96,7;6,24;17,1;6,35;28,02;6;6;16,51
1051033;Friedrichsgabekoog;6,5;0,74;34651,96;54,05;70;35,29;100;100;100;6,85;10,85;9,78;11,99;9,39;9,29;9,94
1051034;Friedrichskoog;46,22;-0,84;2109,62;58,01;51,41;64,34;100;100;93,8;4,57;6,37;23,05;36,76;8,11;12,93;12,51
1051035;Gaushorn;26,98;0,47;1231,65;62,62;58,49;66,67;100;100;82,2;5,52;9,48;7,25;12,74;5,29;6,85;8,53
1051036;Glüsing;24,52;0,91;2462,53;54,69;69,7;38,71;100;100;100;3,92;14,53;6,4;17,22;5,67;7,75;15,24
1051037;Großenrade;46,54;0,6;725,04;70,34;61,27;79,05;100;100;100;7,38;20,31;7,47;28,4;7,47;8,25;19,13
1051038;Groven;11,39;0,93;2522,13;69,05;72,22;66,67;100;100;100;5,66;24,36;6,62;20,54;6,27;13,27;13,27
1051039;Gudendorf;69,87;2,45;1054,74;66,8;61,42;72,22;100;100;100;6,15;11,95;5,85;25,34;5,64;5,85;11,2
1051043;Hedwigenkoog;13,69;0,74;5481,88;83,57;79,69;86,84;100;100;100;6,69;10,17;10,725;19,5;8,66;8,88;9,1
1051044;Heide, Stadt;691,71;0,38;1267,67;61,68;58,13;65,27;100;100;95,4;2,71;5,54;5,35;6,1;2,85;3,98;3,93
1051045;Hellschen-Heringsand-Unterschaar;23,93;-0,24;2554,42;50,98;57,78;45,61;100;99,9;100;6,63;13,8;7,37;19,89;6,54;7,47;12,84
1051046;Helse;71,33;-0,48;1336,85;66,47;57,44;74,9;100;100;100;4,21;5,85;14,63;30,11;4,74;5,21;4,46
1051047;Hemme;31,03;0,81;3782,9;68,73;59,72;76,69;100;100;100;9,07;19,47;-9999;15,34;9,54;12,93;13,18
1051048;Hemmingstedt;179,08;0,03;2127,54;73,77;71,22;76,22;100;100;100;5,4;8,79;4,52;10,13;2,99;7,94;8,12
1051049;Hennstedt;93,11;1,05;1219,25;71,49;67,87;75;100;100;100;3,44;16,31;3,96;18,51;3,67;13,53;16,54
1051050;Hillgroven;16,11;-2,15;10433,14;65,63;57,14;72,22;100;100;100;5,82;20,1;5,84;19,66;5,51;5,82;19,04
1051051;Hochdonn;198,17;-0,35;703,34;65,37;53,68;76,54;100;100;100;7,38;20,81;8,31;27,67;7,32;9,28;20,01
1051052;Hövede;20,75;0;862,25;60,61;52,63;71,43;100;100;100;5,4;12,76;4,545;22,3;5,34;5,34;18,31
1051053;Hollingstedt;31,52;0,96;657,55;66,85;65,96;67,78;100;100;100;3,22;18,19;7,05;20,4;8,89;12,04;18,42
1051054;Immenstedt;34,95;1,18;988,1;63,16;58,97;67,57;100;100;100;4,07;4,03;4,92;20,61;4,65;4,84;16,38
1051057;Kaiser-Wilhelm-Koog;29,89;1,73;3563,51;59,09;56,91;60,99;99,9;99,9;99,9;8,71;8,89;20,01;39,9;8,17;9,11;10,03
1051058;Karolinenkoog;7,35;-2,68;2244,17;67,44;68,42;66,67;100;100;100;6,99;22,7;9,28;18,53;8,02;9,54;10,8
1051060;Kleve;31,23;-0,86;1332,61;72,69;69,37;75,86;100;100;100;7,51;20,87;5,83;22,81;7,54;18,57;20,84
1051061;Krempel;125,52;0,34;630,75;61,62;54,49;68,23;100;100;100;3,7;20,78;2,57;17,53;2,58;16,98;16,67
1051062;Kronprinzenkoog;29,26;0,81;3847,89;71,24;62,1;79,42;100;100;100;6,84;7,98;17,17;32,8;4,43;7,89;7,64
1051063;Krumstedt;31,59;-0,31;836,38;65,32;57,33;73,47;100;100;88,4;11,83;14,85;11,92;26,15;9,77;13,82;13,99
1051064;Kuden;54,62;0,46;815,46;64,91;52,94;76,56;100;100;99,2;5,17;18,46;9,46;35,24;6,51;9,52;16,79
1051065;Lehe;57,92;-0,26;803,66;68,09;69,58;66,67;100;100;100;5,81;25,91;5,34;22,87;5,59;19,21;19,21
1051067;Lieth;79,18;-0,68;6768,03;67,03;61,7;72,73;100;100;100;6,08;8,9;6,31;8,25;4,51;8,4;7,94
1051068;Linden;75,3;0,18;913,48;68,66;64,66;72,59;100;100;98,8;5,71;12,4;7,26;14,61;6,78;10,25;12,64
1051069;Lohe-Rickelshof;386,46;0,08;1779,77;67,98;67,15;68,86;100;100;100;3,4;8,23;8,08;4,12;4,36;4,38;4,51
1051071;Lunden;360,65;0,04;802,05;61,68;56,96;65,91;100;100;100;2,5;22,64;2,35;19,39;1,82;15,83;15,83
1051072;Marne, Stadt;1249,9;0,7;1224,16;65,06;59,61;70,61;100;100;100;1,7;2,75;12,38;31,96;2,33;2,33;2,52
1051073;Marnerdeich;317,56;0,59;735,94;59,05;52,99;65,22;100;100;100;3,19;2,79;14,68;34,04;3,67;3,67;4,27
1051074;Meldorf, Stadt;345,95;0,39;1266,84;59,93;56,12;63,76;100;100;100;3,18;4,3;4,36;18,01;3,53;3,49;3,36
1051075;Neuenkirchen;39,7;0,73;2845,98;72,83;66,55;78,34;100;100;100;8,45;16,04;9,285;11,9;9,47;9,51;12,16
1051076;Neufeld;59,81;1,67;2336,71;71,19;64,41;77,72;100;100;99,7;6,24;7,42;13,545;33,4;6,57;6,55;7,52
1051077;Neufelderkoog;11,67;-1,31;3394,11;54,1;55,56;52,94;100;100;99,8;9,8;11;18,9;38,47;10,12;10,12;11,1
1051078;Nindorf;131,2;0,05;1677,66;63,81;60,06;67,52;100;100;99,5;4,26;7,51;7,475;21,56;5,19;6,39;6,33
1051079;Norddeich;67,25;2,58;2095,15;72,28;71,32;73,15;100;100;100;3,93;18,01;3,47;17,77;3,25;3,93;17,06
1051080;Norderheistedt;30,25;-1,29;2405,46;51,72;65;40,43;100;100;98,9;6,65;9,98;8,33;12,19;7,83;10,29;10,22
1051081;Norderwöhrden;14,4;-0,07;8875,68;46,84;56,06;40,22;100;100;100;6,54;12,34;8,6;8,13;8,24;7,95;8,53
1051082;Nordhastedt;106,4;-0,35;880,55;64,35;60,72;67,94;100;100;92,1;3,51;10,4;5,8;14,44;3,46;9,76;10,3
1051083;Odderade;29,02;0,63;841,5;73,79;76,19;71,29;100;93,8;74,8;6,2;14,54;8,91;18,16;6,28;13,85;13,95
1051084;Oesterdeichstrich;72,41;4,98;889,76;56;45,36;66,02;100;100;100;3,54;7,16;10,5;14,02;6,26;6,26;6,26
1051085;Offenbüttel;17,78;-1,42;941,76;59,56;52,78;67,19;100;100;100;8,66;10,59;8,13;29,15;11,17;11,72;25,5
1051086;Osterrade;24,28;-0,1;1049,69;56,73;50;62,79;100;100;100;5,77;9,47;4,89;26,62;8,58;10,87;22,43
1051087;Ostrohe;136,94;-0,82;1129,96;66,73;65,91;67,57;100;100;100;3,04;5,88;5,75;8,09;4,69;6,19;6,11
1051088;Pahlen;106,76;0,02;934,65;68,81;63,42;73,89;100;100;99,9;6,27;16,23;2,385;20,55;7,27;8,88;18,58
