Name,Type,Population,Sexual_Offenses,Robbery_bank,Handbag_Robbery,Other_Robberies,Home_Invasions,Assaults,Simple_Assaults,Theft,Shoplifting,Theft_with_Aggravating_Circumstances,Burglary,Daytime_Burglary,Total_Bicycle_Theft,Total_Vehicle_Theft,Total_Pickpocketing,Assault_on_Officials,Resistance_Against_Officials,Assault_on_Officials_Specific,Concealment,Arson,Property_Damage,Drug_Offenses,Violent_Crime,Homicide,Street_Crime,Total_Sum,Total_Crime_Rate
Aachen,Kreis,564444,99.0,0.0,8.0,169.0,34.0,1264.0,3551.0,11221.0,4024.0,8476.0,1155.0,490.0,1885.0,3261.0,1007.0,254.0,168.0,86.0,350.0,237.0,3723.0,1912.0,1842.0,36.0,10682.0,55934.0,9909.574731948607
Ahrweiler,Kreis,128741,14.0,0.0,0.0,5.0,2.0,151.0,507.0,1023.0,174.0,585.0,80.0,24.0,186.0,231.0,96.0,45.0,22.0,23.0,51.0,36.0,556.0,699.0,186.0,3.0,1052.0,5751.0,4467.108380391639
Aichach-Friedberg,Kreis,138607,7.0,0.0,0.0,1.0,0.0,83.0,317.0,575.0,166.0,302.0,33.0,6.0,126.0,92.0,5.0,17.0,2.0,15.0,37.0,14.0,364.0,132.0,104.0,2.0,551.0,2951.0,2129.0411018202544
Alb-Donau-Kreis,Kreis,203873,17.0,0.0,0.0,14.0,2.0,136.0,516.0,924.0,266.0,482.0,58.0,21.0,129.0,175.0,14.0,26.0,10.0,16.0,77.0,39.0,557.0,253.0,190.0,9.0,701.0,4632.0,2272.0026683278315
Altenburger Land,Kreis,88692,1.0,0.0,0.0,4.0,3.0,71.0,292.0,645.0,208.0,481.0,59.0,15.0,61.0,91.0,18.0,32.0,20.0,12.0,37.0,27.0,1052.0,575.0,94.0,4.0,519.0,4321.0,4871.916294592523
Altenkirchen (Westerwald),Kreis,131907,18.0,0.0,0.0,15.0,6.0,189.0,665.0,1013.0,340.0,378.0,74.0,20.0,68.0,154.0,34.0,64.0,42.0,22.0,67.0,57.0,614.0,743.0,244.0,1.0,878.0,5706.0,4325.774977825286
Altmarkkreis Salzwedel,Kreis,81851,13.0,0.0,0.0,9.0,5.0,156.0,439.0,735.0,195.0,507.0,40.0,9.0,228.0,99.0,27.0,43.0,29.0,14.0,26.0,43.0,612.0,253.0,194.0,3.0,752.0,4431.0,5413.495253570512
Altötting,Kreis,114459,16.0,0.0,0.0,3.0,1.0,120.0,424.0,636.0,177.0,246.0,18.0,9.0,147.0,96.0,16.0,51.0,25.0,26.0,55.0,13.0,475.0,309.0,151.0,6.0,607.0,3627.0,3168.820276256127
Alzey-Worms,Kreis,133430,23.0,0.0,0.0,9.0,0.0,129.0,433.0,919.0,134.0,319.0,70.0,34.0,66.0,125.0,36.0,19.0,8.0,11.0,28.0,33.0,466.0,261.0,170.0,3.0,691.0,3987.0,2988.0836393614627
Amberg,City,42676,6.0,0.0,0.0,1.0,0.0,60.0,233.0,513.0,254.0,163.0,10.0,1.0,98.0,55.0,10.0,24.0,13.0,11.0,23.0,4.0,330.0,252.0,77.0,0.0,425.0,2563.0,6005.717499297029
Amberg-Sulzbach,Kreis,104914,7.0,0.0,0.0,0.0,0.0,76.0,202.0,355.0,109.0,155.0,14.0,1.0,42.0,60.0,2.0,18.0,8.0,10.0,32.0,8.0,245.0,208.0,94.0,0.0,308.0,1954.0,1862.4778389919363
Ammerland,Kreis,129108,19.0,0.0,0.0,7.0,1.0,109.0,417.0,997.0,307.0,665.0,78.0,35.0,318.0,148.0,77.0,32.0,18.0,14.0,38.0,20.0,471.0,185.0,150.0,1.0,903.0,5010.0,3880.4721628404127
Anhalt-Bitterfeld,Kreis,156642,14.0,1.0,0.0,21.0,7.0,271.0,826.0,1523.0,574.0,1605.0,85.0,26.0,436.0,371.0,67.0,52.0,39.0,13.0,38.0,48.0,1193.0,553.0,366.0,13.0,1657.0,9799.0,6255.665785676893
Ansbach,City,189517,8.0,0.0,0.0,1.0,0.0,147.0,368.0,619.0,269.0,149.0,6.0,0.0,102.0,30.0,19.0,22.0,9.0,13.0,31.0,6.0,371.0,198.0,183.0,3.0,463.0,3017.0,1591.9416200129804
Ansbach,Kreis,189517,15.0,0.0,0.0,2.0,0.0,143.0,530.0,969.0,262.0,338.0,27.0,10.0,115.0,202.0,33.0,37.0,14.0,23.0,54.0,17.0,615.0,306.0,184.0,9.0,786.0,4691.0,2475.239688260156
Aschaffenburg,City,177056,7.0,0.0,0.0,3.0,2.0,149.0,447.0,1288.0,648.0,547.0,14.0,7.0,270.0,85.0,32.0,44.0,16.0,28.0,61.0,6.0,493.0,554.0,184.0,1.0,940.0,5826.0,3290.484366528104
Aschaffenburg,Kreis,177056,6.0,0.0,0.0,1.0,1.0,85.0,274.0,549.0,127.0,391.0,50.0,20.0,126.0,133.0,8.0,21.0,11.0,10.0,56.0,40.0,412.0,297.0,106.0,3.0,647.0,3374.0,1905.6117838424002
Augsburg,City,263578,38.0,1.0,6.0,39.0,5.0,785.0,2417.0,3777.0,1768.0,1689.0,133.0,27.0,901.0,285.0,127.0,301.0,115.0,186.0,107.0,37.0,2352.0,1270.0,973.0,8.0,3588.0,20935.0,7942.620400792175
Augsburg,Kreis,263578,12.0,0.0,2.0,9.0,1.0,256.0,773.0,1134.0,341.0,611.0,44.0,6.0,333.0,171.0,17.0,67.0,22.0,45.0,38.0,12.0,939.0,444.0,334.0,30.0,1336.0,6977.0,2647.0342744842133
Aurich,Kreis,192608,31.0,0.0,9.0,10.0,7.0,288.0,1059.0,1954.0,596.0,1203.0,128.0,35.0,658.0,349.0,79.0,80.0,45.0,35.0,91.0,37.0,1073.0,661.0,445.0,0.0,1922.0,10795.0,5604.647782023591
Bad Dürkheim,Kreis,134711,19.0,0.0,0.0,15.0,3.0,196.0,612.0,946.0,188.0,624.0,113.0,44.0,285.0,129.0,56.0,35.0,19.0,16.0,37.0,25.0,688.0,404.0,248.0,0.0,1115.0,5817.0,4318.1328918945
