GKZ,Name_gemeinde,HArzt_access,NotfallA_access
1001000,"Flensburg, Stadt",2.22,6.83
1002000,"Kiel, Landeshauptstadt",2.06,8.67
1003000,"Lübeck, Hansestadt",2.47,9.17
1004000,"Neumünster, Stadt",2.84,7.27
1051001,Albersdorf,2.03,19.27
1051002,Arkebek,4.58,18.51
1051003,Averlak,5.97,31.21
1051004,Bargenstedt,8.77,22.0
1051005,Barkenholm,7.67,13.29
1051006,Barlt,8.91,25.97
1051008,Bergewöhrden,9.93,26.17
1051010,Brickeln,4.56,32.33
1051011,"Brunsbüttel, Stadt",3.88,28.93
1051012,Buchholz,5.82,38.54
1051013,Büsum,2.66,18.97
1051014,Büsumer Deichhausen,4.12,18.01
1051015,Bunsoh,1.96,23.02
1051016,Burg (Dithmarschen),1.98,33.39
1051017,Busenwurth,8.3,22.92
1051019,Dellstedt,9.88,25.83
1051020,Delve,10.05,24.38
1051021,Diekhusen-Fahrstedt,2.53,33.79
1051022,Dingen,4.1,31.75
1051023,Dörpling,3.32,23.13
1051024,Eddelak,2.52,29.93
1051026,Eggstedt,4.41,20.66
1051027,Elpersbüttel,6.4,21.32
1051028,Epenwöhrden,4.57,15.15
1051030,Fedderingen,4.78,18.09
1051032,Frestedt,4.81,28.02
1051033,Friedrichsgabekoog,6.42,11.99
1051034,Friedrichskoog,6.06,36.76
1051035,Gaushorn,5.04,12.74
1051036,Glüsing,3.94,17.22
1051037,Großenrade,5.95,28.4
1051038,Groven,5.52,20.54
1051039,Gudendorf,7.01,25.34
1051043,Hedwigenkoog,8.64,19.5
1051044,"Heide, Stadt",2.48,6.1
1051045,Hellschen-Heringsand-Unterschaar,7.02,19.89
1051046,Helse,4.5,30.11
1051047,Hemme,7.64,15.34
1051048,Hemmingstedt,2.56,10.13
1051049,Hennstedt,2.27,18.51
1051050,Hillgroven,5.78,19.66
1051051,Hochdonn,5.46,27.67
1051052,Hövede,5.12,22.3
1051053,Hollingstedt,7.09,20.4
1051054,Immenstedt,3.7,20.61
